evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,7973012.494,7973012.494,7972802.614,7972802.614,0.038311,1.8071,-3.7043,1.9096,-4.1754,-2.288,4.9337,4.8431,3.8587,3.7343
2,11795364.29,7973012.494,11795154.41,7972802.614,-4.9085,2.8092,2.9696,3.7238,1.762,-1.9556,0.87265,2.0508,2.8138,-0.33805
3,2987079.516,2987079.516,2986869.636,2986869.636,1.0038,-1.9481,4.9193,-2.4613,-3.1599,-1.1414,4.4935,-4.703,-1.0235,3.8901
4,43772168.69,2987079.516,43771958.81,2986869.636,2.8575,4.0148,0.69722,4.1531,0.92444,1.5218,-3.1348,0.85815,1.3649,-4.2761
5,18913537.38,2987079.516,18913327.5,2986869.636,-0.40755,1.4565,3.533,-2.4379,0.1803,0.295,0.6065,-3.947,-2.6542,-1.5797
6,22930490.73,2987079.516,22930280.85,2986869.636,0.7149,3.3497,1.4723,0.63424,-4.1116,3.3124,4.4928,-4.6181,3.6094,-1.5307
7,739934.7783,739934.7783,739724.8983,739724.8983,4.272,1.4669,-2.5158,-0.030739,0.62004,3.4086,-3.5089,2.4852,-0.73323,2.856
8,12919418.26,739934.7783,12919208.38,739724.8983,3.2091,3.8592,-0.68757,1.7421,-3.5787,4.4927,-2.9629,2.0278,-4.4543,-0.61706
10,53398725.45,739934.7783,53398515.57,739724.8983,-0.14302,-1.725,-4.6909,2.3412,3.2442,0.92919,0.74978,4.7353,-1.5856,-4.9834
11,33124755.66,739934.7783,33124545.78,739724.8983,2.5913,-3.3765,3.8758,-3.0963,3.3656,-4.7029,-3.6036,-4.5973,2.3249,-3.0579
12,8472239.22,739934.7783,8472029.34,739724.8983,-0.21441,2.773,3.2027,2.5182,-0.30662,-4.9025,-3.8607,4.9262,-3.5148,0.14219
14,3491554.279,739934.7783,3491344.399,739724.8983,4.4496,-1.012,0.044613,3.3254,0.89167,-1.5898,3.6225,2.2881,-1.1872,0.94731
15,6572204.303,739934.7783,6571994.423,739724.8983,4.2302,3.5984,-1.2797,2.4329,1.1166,3.4137,2.5304,2.2559,3.3399,4.0156
17,31563509.45,739934.7783,31563299.57,739724.8983,4.6138,2.9237,2.8613,-0.34164,1.2491,-1.247,3.0685,-0.12843,-3.9589,-3.1186
19,972680.8034,739934.7783,972470.9234,739724.8983,-0.74973,1.2504,-1.599,4.608,2.0657,4.5868,3.649,-0.45768,0.77943,2.1231
22,14264449.48,739934.7783,14264239.6,739724.8983,0.77113,3.5316,2.1804,4.1721,3.1395,-0.75393,3.7589,1.7886,3.7884,-0.46162
25,1058956.359,739934.7783,1058746.479,739724.8983,1.5935,0.18333,2.7838,-1.2261,-0.64455,0.92339,3.02,-1.8856,-2.2881,1.8083
28,28111832.51,739934.7783,28111622.63,739724.8983,0.73407,-0.38191,0.19581,-1.4821,3.392,4.5513,4.4413,1.4119,-2.3344,-2.8468
31,3236337.198,739934.7783,3236127.318,739724.8983,3.7327,0.043534,4.9198,-1.0715,3.5614,3.3117,-1.5203,3.0027,-0.27631,1.1454
35,4021466.455,739934.7783,4021256.575,739724.8983,0.066613,-4.1491,4.3714,-3.4696,4.7837,-0.45195,0.89691,-1.9246,-0.54919,0.7336
39,1329304.114,739934.7783,1329094.234,739724.8983,-1.5535,-1.3106,4.2245,-4.8425,1.1919,1.2587,-2.238,-2.2454,-1.9293,3.537
44,243031.6017,243031.6017,242821.7217,242821.7217,-3.0041,-2.1066,2.6983,1.7519,-2.6992,-1.6235,-1.6761,0.76016,-1.2557,2.6087
50,4973367.945,243031.6017,4973158.065,242821.7217,-2.2974,-2.3008,4.5858,-3.5465,-0.0058011,-1.2338,-2.4948,-4.3343,-3.7295,4.317
56,8825431.965,243031.6017,8825222.085,242821.7217,-4.9878,-4.5547,0.54888,0.1888,3.0444,-4.0024,0.35958,4.4098,3.9515,1.1961
63,1655284.68,243031.6017,1655074.8,242821.7217,3.6831,-4.8224,-2.4039,4.9943,-2.5096,4.1637,2.2743,0.58578,-2.3479,1.5265
70,15682769.66,243031.6017,15682559.78,242821.7217,0.90531,3.5912,-2.8239,-3.5216,-0.81469,-0.013826,-3.9831,4.5673,4.9347,4.9582
79,31951273.68,243031.6017,31951063.8,242821.7217,-0.33292,-3.9734,-3.4656,-0.10885,-1.1974,-2.183,-1.2849,0.9593,3.2725,-2.844
89,3389178.242,243031.6017,3388968.362,242821.7217,-2.5707,2.4996,3.404,-3.8617,-1.4901,-1.2165,-3.0181,3.7644,-4.0453,1.752
100,8418517.212,243031.6017,8418307.332,242821.7217,-4.6149,-1.0148,-2.748,3.8388,-1.3887,-1.2254,-2.8457,2.016,1.6372,0.025119
112,52286134.51,243031.6017,52285924.63,242821.7217,3.3628,0.18049,4.6522,-3.4975,-1.71,3.1157,3.128,-1.1047,-4.4784,-4.8321
