evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,890.1442589,890.1442589,428.0542589,428.0542589,-0.81879,-0.19655,-4.655,0.48527,1.8151,4.8403,2.3099,2.9146,3.9686,4.2763
2,790.5162046,790.5162046,328.4262046,328.4262046,0.1647,1.7251,4.0476,-3.5367,-0.71196,-4.8683,2.2514,-2.6034,-3.5732,-1.9833
3,354.7132064,354.7132064,-107.3767936,-107.3767936,-0.41795,-0.51555,-1.6681,-2.2732,0.97752,-0.74849,-2.6922,0.88581,1.1848,-1.3415
4,229.1146969,229.1146969,-232.9753031,-232.9753031,3.4907,-1.174,-1.5125,0.91858,-1.4388,1.554,0.45261,3.3935,0.82199,0.78974
5,575.7489905,229.1146969,113.6589905,-232.9753031,2.1755,-4.4015,-4.1124,1.4645,-3.6313,3.488,-2.701,3.3138,-2.2412,0.67858
6,706.7856413,229.1146969,244.6956413,-232.9753031,-2.8696,0.0087758,3.4808,1.5632,-4.5997,-0.97117,-1.0853,-4.2393,4.1163,-2.394
7,413.0322945,229.1146969,-49.05770545,-232.9753031,0.38069,-0.89049,-4.8856,2.1048,4.5129,0.99827,-0.5607,-1.3985,-0.31632,0.80079
8,469.7669736,229.1146969,7.676973621,-232.9753031,0.13844,4.5678,0.10822,-2.9843,0.13326,-0.94694,2.6301,2.0429,2.8093,3.4114
10,729.4471579,229.1146969,267.3571579,-232.9753031,-1.1402,-2.8093,0.3404,-4.8635,-4.3118,3.1458,0.84523,-4.9186,4.0399,-0.33887
11,487.7050713,229.1146969,25.61507134,-232.9753031,2.5926,0.21089,3.8681,3.359,1.2168,-0.1424,1.8302,-0.018009,-3.5576,2.1035
12,828.3191114,229.1146969,366.2291114,-232.9753031,3.14,1.6508,-4.543,1.2848,4.9246,-3.3067,4.3601,-2.7559,-2.0609,3.3205
14,248.6507041,229.1146969,-213.4392959,-232.9753031,-0.52508,-0.57655,4.5066,1.8636,3.729,-1.0216,1.995,0.72425,0.41174,-2.091
15,1272.162112,229.1146969,810.0721116,-232.9753031,-4.1245,3.3111,-3.6518,2.842,-1.8946,-4.7472,0.81586,-0.062639,-2.9532,4.4981
17,573.9585739,229.1146969,111.8685739,-232.9753031,1.05,-3.68,3.995,4.9817,-4.1318,-1.5105,-2.0914,-0.90528,3.3726,-0.954
19,481.5700252,229.1146969,19.48002521,-232.9753031,1.9592,-0.24906,-0.039199,-2.6557,0.59394,3.4423,-3.4158,-0.53201,-0.32426,-3.1268
22,780.0988293,229.1146969,318.0088293,-232.9753031,0.83158,-0.49256,-4.5667,-2.529,4.8418,-4.2046,0.10623,-1.3615,-4.7715,1.6476
25,871.1117514,229.1146969,409.0217514,-232.9753031,-4.0873,3.2806,1.6242,1.4608,1.0795,0.71238,1.2259,1.6277,3.015,4.6215
28,544.1302037,229.1146969,82.04020371,-232.9753031,-0.03587,-3.1561,1.045,-3.429,-1.4007,-3.0994,-1.9718,-1.1694,1.4973,2.0178
31,586.8333792,229.1146969,124.7433792,-232.9753031,-3.7827,-4.9931,-2.9958,-3.5072,-2.3056,-3.0978,-0.37508,1.1527,0.27809,-3.2076
35,526.4208999,229.1146969,64.33089985,-232.9753031,2.7519,4.7056,1.1066,-0.46394,2.6308,-4.578,3.9884,1.6481,3.1598,-4.814
39,355.3615564,229.1146969,-106.7284436,-232.9753031,-0.26493,2.9313,-1.5144,2.1216,-4.9629,1.0807,3.6206,-0.51129,3.0806,-0.96383
44,1103.19609,229.1146969,641.1060901,-232.9753031,3.8771,-1.3617,-0.82796,2.1318,-1.6928,3.4068,0.36999,4.4406,3.1551,4.7116
50,584.5145591,229.1146969,122.4245591,-232.9753031,2.2542,1.6199,1.309,-5.0,-5.0,-0.30883,-2.4419,0.081445,1.746,-2.9538
56,814.5185449,229.1146969,352.4285449,-232.9753031,3.2805,-1.4152,-1.3002,4.2934,-0.52833,-5.0,-1.6155,2.4765,-1.0824,3.5619
63,550.7695802,229.1146969,88.67958018,-232.9753031,2.9234,2.8467,-3.2854,-3.0322,-5.0,1.7623,0.89999,4.0784,3.0577,2.8124
70,453.7330611,229.1146969,-8.356938927,-232.9753031,0.95846,0.78739,-2.5686,0.54251,-4.6338,1.5619,2.1623,5.0,-2.6821,-0.87301
79,454.9325645,204.2284828,-7.157435473,-257.8615172,4.7351,2.0199,-2.2178,2.8414,-0.76403,-2.2397,2.4513,2.0709,4.5177,-1.4496
89,432.6284997,177.0850346,-29.46150027,-285.0049654,5.0,1.4986,4.3767,-0.25823,5.0,4.2321,1.5017,5.0,4.6043,1.441
100,329.3107429,177.0850346,-132.7792571,-285.0049654,3.458,-1.4647,-2.7959,3.7872,5.0,0.63278,5.0,1.4236,2.5783,-2.2311
112,841.5141269,177.0850346,379.4241269,-285.0049654,2.6586,-3.2096,2.336,-1.4418,-3.5124,3.4515,3.4581,5.0,-0.18488,4.1052
125,255.4005982,177.0850346,-206.6894018,-285.0049654,-3.5475,1.6728,1.2706,-0.67626,5.0,3.0035,-1.2643,0.05349,1.0715,-1.1039
141,256.564791,177.0850346,-205.525209,-285.0049654,5.0,1.1656,1.5783,1.1696,1.3732,0.3631,4.778,1.6944,2.3572,0.88341
158,331.8055679,177.0850346,-130.2844321,-285.0049654,3.3709,3.3146,0.47308,-0.78634,5.0,1.7558,3.7682,4.3301,-0.018518,-3.1144
177,299.172633,177.0850346,-162.917367,-285.0049654,3.7238,4.3725,1.9551,-1.5672,1.452,3.3605,4.035,0.76036,-0.43141,-1.899
199,276.8643606,177.0850346,-185.2256394,-285.0049654,3.9771,0.96649,0.48114,-0.41253,4.032,1.7127,3.1797,-0.36251,-0.25143,-1.4343
223,301.0472302,171.08867,-161.0427698,-291.00133,2.7884,0.51038,3.7723,-2.6147,4.8971,1.1337,3.5076,3.3259,-1.3836,2.2245
251,198.905019,171.08867,-263.184981,-291.00133,2.7328,1.0369,-0.18537,-1.8989,2.8579,0.70057,3.3625,1.8821,0.17262,-1.792
