evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1584,139.2689564,71.75144879,254.9489564,187.4314488,-0.079279,-2.2564,-0.72909,2.9145,2.7942,-2.1996,2.6115,3.0436,3.3922,-1.0652
1778,163.3079199,57.24576481,278.9879199,172.9257648,-3.3528,-2.9027,-0.73351,2.7881,2.1444,-3.1598,2.2889,2.7015,3.943,-2.7243
1995,191.1521759,50.93861947,306.8321759,166.6186195,0.22608,-2.7409,0.18678,2.7133,2.7191,-1.7844,2.7124,2.4857,4.2437,-1.6938
2238,103.3110799,50.49950578,218.9910799,166.1795058,0.13573,-2.7377,-0.37364,2.8662,2.4534,-2.4137,2.6923,3.2448,3.8482,-2.0778
2511,158.8592479,50.49950578,274.5392479,166.1795058,0.51303,-2.2426,-0.63785,3.1092,2.4932,-2.9047,3.9279,2.3079,3.1504,-2.8221
2818,127.0963301,50.49950578,242.7763301,166.1795058,1.1977,-2.7157,-0.69661,4.3724,2.5045,-3.1093,2.3552,3.4151,2.4567,-2.7433
3162,107.6718257,42.25547654,223.3518257,157.9354765,0.54415,-2.7027,-1.5709,3.017,2.6932,-2.7177,2.2967,2.7434,3.6185,-2.7653
3548,89.9131206,42.25547654,205.5931206,157.9354765,2.4613,-2.6668,-0.52531,2.77,3.0424,-2.8992,2.3752,3.1338,3.5814,-1.9224
3981,90.1250601,39.59828873,205.8050601,155.2782887,0.36062,-2.655,-0.46481,3.0078,2.4602,-2.0476,2.694,3.5895,3.5705,-2.655
4466,87.55929349,35.26818436,203.2392935,150.9481844,0.20794,-2.776,-0.87797,2.9609,2.3063,-3.1868,2.3412,3.2613,3.5503,-1.9833
5011,147.0535375,32.74665622,262.7335375,148.4266562,-0.13313,-0.60102,-3.969,1.7386,3.1953,-4.6997,1.8781,3.2914,3.5448,-1.9439
5623,77.81695264,31.32206848,193.4969526,147.0020685,0.60554,-1.3898,-0.54896,3.0895,2.9128,-2.7705,2.2801,3.2184,3.5607,-2.0822
6309,65.06166724,24.98934545,180.7416672,140.6693455,0.21417,-0.70337,-0.62353,3.5283,2.9179,-2.7603,2.2892,3.2366,3.5733,-2.0279
7079,175.3179004,22.69699106,290.9979004,138.3769911,0.23568,-2.8769,-0.20141,2.5375,2.7551,-2.8749,2.4931,4.2404,2.8071,-1.7668
7943,21.64749802,21.63104859,137.327498,137.3110486,0.2026,-0.96073,-0.58451,3.0895,2.9425,-2.7334,2.2664,3.2418,3.5755,-1.9477
8912,128.8790693,21.49703356,244.5590693,137.1770336,0.23696,-0.4014,-0.59161,3.145,2.9506,-3.5398,2.0049,5.0,3.5654,-1.9521
10000,38.80791757,13.62294371,154.4879176,129.3029437,0.22896,-1.1188,-0.62206,3.0847,2.9114,-2.7257,3.3091,3.2296,3.5839,-1.9587
11220,22.55667275,12.45203296,138.2366727,128.132033,0.2338,-1.1853,-0.57837,3.0697,2.9438,-2.7305,3.5408,3.2214,3.5874,-1.9574
12589,13.78017178,11.99601275,129.4601718,127.6760127,0.21368,-1.0073,-0.58075,3.0807,2.9682,-2.7518,3.5593,3.2397,3.5763,-1.9316
14125,71.27496491,8.933317543,186.9549649,124.6133175,0.24193,-0.99186,-0.50615,3.0888,2.3048,-2.487,3.0359,1.531,3.5852,-2.3442
15848,35.6674462,4.706287868,151.3474462,120.3862879,2.4651,-1.0169,-0.62602,3.0855,2.9606,-2.7305,3.5606,2.9528,3.5763,-1.9513
17782,11.31979241,4.285575947,126.9997924,119.9655759,2.1799,-1.04,-0.59079,3.0844,2.9137,-2.7287,3.5605,2.2769,3.5739,-1.9616
19952,17.15574576,4.061892275,132.8357458,119.7418923,2.1145,-0.98456,-0.58334,3.0874,2.964,-2.7228,3.5517,2.2409,3.5742,-1.9482
22387,3.982114674,3.982114674,119.6621147,119.6621147,2.1785,-0.98458,-0.58231,3.0885,2.9583,-2.7299,3.5599,2.3561,3.5774,-1.9514
25118,51.68272466,3.979891219,167.3627247,119.6598912,2.0125,-1.0146,-0.5872,3.0235,3.3595,-2.7254,3.5002,2.5822,3.5828,-1.9458
28183,3.979843698,3.979837647,119.6598437,119.6598376,2.1784,-0.98317,-0.58127,3.0889,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
31622,3.979836276,3.979836242,119.6598363,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
35481,7.782710339,3.979836229,123.4627103,119.6598362,2.0526,-0.98323,-0.58145,3.0888,2.9618,-2.7325,3.5608,2.3349,3.5832,-1.951
39810,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
44668,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
50118,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
55983,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
56234,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
63095,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
70794,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
79432,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
89125,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
100000,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
112201,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
125892,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
141253,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
158489,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
